Date,PM10 (ug/m3)
06-02-2019,236.52
07-02-2019,169.51
09-02-2019,200.17
13-02-2019,201.76
14-02-2019,179.38
15-02-2019,165.89
16-02-2019,179.02
17-02-2019,165.37
18-02-2019,166
19-02-2019,167.66
20-02-2019,168.56
21-02-2019,167.61
22-02-2019,182.82
23-02-2019,187.61
24-02-2019,164.32
25-02-2019,157.23
26-02-2019,171.03
28-02-2019,199.98
01-03-2019,199.41
02-03-2019,147.5
03-03-2019,149.37
04-03-2019,151.2
05-03-2019,152.97
06-03-2019,134.15
07-03-2019,228.35
08-03-2019,191.37
09-03-2019,159.8
12-03-2019,203.18
13-03-2019,176.94
14-03-2019,186.22
15-03-2019,168.87
16-03-2019,170.36
17-03-2019,181.18
18-03-2019,221.13
19-03-2019,241.26
20-03-2019,120.59
25-03-2019,200.9
26-03-2019,162.16
27-03-2019,165.17
28-03-2019,179.94
29-03-2019,176.04
30-03-2019,122.29
02-04-2019,296.62
03-04-2019,211.57
04-04-2019,171.97
05-04-2019,166.88
06-04-2019,175.53
07-04-2019,157.58
08-04-2019,138
09-04-2019,190.84
10-04-2019,125.87
11-04-2019,228.09
12-04-2019,169.49
13-04-2019,168.96
14-04-2019,157.26
15-04-2019,156.47
16-04-2019,147.7
17-04-2019,168.55
18-04-2019,177.74
19-04-2019,219.28
20-04-2019,124.63
21-04-2019,127.06
22-04-2019,151.79
23-04-2019,139.59
24-04-2019,140.52
25-04-2019,182.58
26-04-2019,150.65
27-04-2019,219.85
28-04-2019,177.77
29-04-2019,160.39
30-04-2019,149.38
01-05-2019,121.76
02-05-2019,161.85
03-05-2019,193.87
04-05-2019,189.84
05-05-2019,189.89
06-05-2019,184.51
07-05-2019,138.03
08-05-2019,105.91
09-05-2019,166.02
10-05-2019,154.22
11-05-2019,173.85
12-05-2019,167.08
13-05-2019,151.73
14-05-2019,142.66
15-05-2019,143.36
16-05-2019,162.51
17-05-2019,139.67
20-05-2019,170.29
21-05-2019,101.47
22-05-2019,75.37
23-05-2019,114.31
24-05-2019,56.09
25-05-2019,127.9
26-05-2019,42.21
27-05-2019,95.23
28-05-2019,72.95
14-06-2019,92.77
15-06-2019,75.77
16-06-2019,71.09
17-06-2019,92.77
18-06-2019,73.03
19-06-2019,82.94
20-06-2019,69.04
21-06-2019,77.32
22-06-2019,87.1
23-06-2019,73.82
24-06-2019,101.25
25-06-2019,127.54
26-06-2019,86.94
27-06-2019,95.25
28-06-2019,120.99
29-06-2019,161.41
30-06-2019,137.56
01-07-2019,156.29
02-07-2019,127.45
03-07-2019,123.2
04-07-2019,143.54
05-07-2019,129.22
06-07-2019,130.35
07-07-2019,181.86
08-07-2019,133.69
09-07-2019,107
10-07-2019,103.46
11-07-2019,104.18
12-07-2019,106.18
13-07-2019,119.42
14-07-2019,100.92
15-07-2019,100.32
16-07-2019,56.89
20-07-2019,140.47
21-07-2019,110
22-07-2019,101.3
23-07-2019,82.21
24-07-2019,114.67
25-07-2019,99.84
26-07-2019,101.73
29-07-2019,145.42
30-07-2019,111.47
31-07-2019,101.32
01-08-2019,123.12
02-08-2019,103.64
03-08-2019,155.02
04-08-2019,136.94
05-08-2019,85.07
06-08-2019,75.58
07-08-2019,55.91
08-08-2019,38.87
09-08-2019,99.52
10-08-2019,90.99
11-08-2019,72.56
12-08-2019,105.27
13-08-2019,79.76
14-08-2019,89.13
16-08-2019,78.95
17-08-2019,103.25
18-08-2019,46.8
19-08-2019,102.27
20-08-2019,62.68
21-08-2019,57.77
22-08-2019,90.93
23-08-2019,73.54
24-08-2019,102.98
25-08-2019,98.26
26-08-2019,160.55
27-08-2019,124.86
28-08-2019,104.14
29-08-2019,166.3
30-08-2019,158.22
31-08-2019,132.56
01-09-2019,93.89
03-09-2019,90.6
04-09-2019,91.34
05-09-2019,81.83
06-09-2019,82.43
07-09-2019,103.61
08-09-2019,94.75
09-09-2019,97.27
10-09-2019,128.37
11-09-2019,125.54
12-09-2019,106.37
13-09-2019,101.54
14-09-2019,109.12
15-09-2019,76.78
16-09-2019,70.89
17-09-2019,56.71
18-09-2019,96
19-09-2019,116.78
20-09-2019,104.58
21-09-2019,134.12
22-09-2019,91.11
23-09-2019,76.27
24-09-2019,57.46
25-09-2019,55.61
26-09-2019,126.37
27-09-2019,137.17
28-09-2019,160
29-09-2019,172.93
01-10-2019,135.33
03-10-2019,140.32
04-10-2019,94.75
05-10-2019,126.52
06-10-2019,106.3
10-10-2019,137.35
22-10-2019,49.72
23-10-2019,53.68
24-10-2019,101.38
25-10-2019,84.73
26-10-2019,86.34
27-10-2019,98.75
28-10-2019,104.03
29-10-2019,102.49
30-10-2019,48.05
31-10-2019,85.89
01-11-2019,139.5
02-11-2019,127.34
04-11-2019,277.69
05-11-2019,235.4
06-11-2019,192
07-11-2019,151.08
08-11-2019,114.34
09-11-2019,115.28
11-11-2019,149.53
12-11-2019,95.48
13-11-2019,143.13
14-11-2019,96.55
15-11-2019,77.61
16-11-2019,74.9
17-11-2019,68.16
18-11-2019,65.76
19-11-2019,51.11
20-11-2019,45.48
21-11-2019,76.09
22-11-2019,81.81
23-11-2019,62.9
25-11-2019,84.82
26-11-2019,67.65
27-11-2019,57.95
28-11-2019,57.63
29-11-2019,73.9
30-11-2019,66.27
01-12-2019,41.09
02-12-2019,50.55
03-12-2019,73.36
04-12-2019,80.91
06-12-2019,138.67
07-12-2019,89.68
08-12-2019,82.89
09-12-2019,95.04
10-12-2019,95.12
11-12-2019,110.83
12-12-2019,131.82
13-12-2019,103.69
14-12-2019,84.14
17-12-2019,104.74
18-12-2019,100.5
19-12-2019,102.17
20-12-2019,111.33
21-12-2019,103.48
22-12-2019,108.87
23-12-2019,118.38
24-12-2019,104.57
25-12-2019,99.52
26-12-2019,104.31
27-12-2019,106.63
28-12-2019,93.48
29-12-2019,98.73
30-12-2019,98.29
31-12-2019,100.59
